Category,QuestionNo,Question,Choices,Answer,Advice
整数,33,"トランプのクローバーの１〜３とスペードの１〜３、合計6枚用意した。この中から、XとYの2人がそれぞれ3枚ずつ選んだ。選んだトランプについて次のことが分かっている。

Ⅰ 　Xの選んだトランプの数字の合計は5である。

Ⅱ 　Xが選んだトランプにスペードはちょうど2枚含まれていた。

Ⅲ　Yが選んだトランプにはスペードの3が含まれていた。

Yが持っているトランプのうち最も小さい数字のカードはどれか。","A. クローバーの１
B. スペードの１
C. クローバーの１とスペードの１
D. クローバーの２
E. スペードの２","答え：A

Ⅰより、Xの組み合わせは、（１、１、３）（１、２、２）。同じ数字のどちらかにはスペードが含まれているので、Ⅱより、前者であればスペードの３、後者であればスペードの１を持っていることになる。

Ⅲより、スペードの３はYが持っているので、Xが持っているのは（スペード１、クローバー２、スペード２）、Yが持っているのは（クローバー１、クローバー３、スペード３）。

よってクローバーの１。","非言語の推論の問題は情報を整理する力が求められます。このような重複のない整数の問題では、解き始める前に条件を見て解くための方針を考えましょう。
例えばこの問題では、条件Ⅱ、Ⅲからスペードの所在が全てわかることに気付けるかが重要です。これらの条件からXはスペードの1と2、Yはスペードの3を持っていることがわかります。次に条件ⅠからXのもう一枚がクローバーの2であることがわかるので、Yのカードがクローバーの1と3、スペードの3であることがわかります。
このように整数問題では解くための方針が時間や難易度を左右するので、丁寧に模索しましょう。"
整数,34,"XとYとZの３人がお金を出し合って1つのプレゼントを買った。これについて次のことが分かっている。

Ⅰ　7500円のプレゼントを買った。

Ⅱ　XはYよりも1800円多く払っている。

Ⅲ　Zが出したお金は、XとYが出したお金の合計の半分である。

Xが出したお金はいくらか。","A. 1900
B. 2500
C. 2900
D. 3400
E. 3600","答え：D

Ⅰ、Ⅲより、XとYが出したお金の合計は、7500×2/3 =5000円。

よって、Xが出したお金は(5000+1800) × 1/2 = 3400円。","非言語の推論の問題は情報を整理する力が求められます。このような整数問題では、数値の範囲や候補を条件から絞っていくことが定石です。
例えばこの問題は、Xの出したお金を文字でおいて解くこともできますが、条件Ⅲがあることで少し計算が面倒になります。そこで条件Ⅲを利用して、全体額から個人の額へと分配するように解いていきましょう。条件ⅢからXとYは全体の2/3のお金を出したことがわかります。これと条件Ⅰより、XとYは5000円出したことが計算できるので、条件Ⅱを満たすようにXとYの額を求めましょう。
このように労力を減らすために、出来るだけ数値の範囲や候補を狭くできる方法を考えることが重要です。"
整数,36,"X、Y、Z、V、Wの5チームがサッカーのリーグ戦をおこなった。結果について以下のことがわかった。

Ⅰ　XはYだけに負けた。

Ⅱ　Zは3勝1敗

Ⅲ　WはYに勝った

すべての勝敗が確定をするためには、Ⅰ〜Ⅲとは別に、次のア、イ、ウのうち最低限どれが加わればよいか。AからHで1つ選びなさい。なお、引き分けはないものとする。

ア　Yは2勝2敗

イ　WはVに勝った

ウ　Vは2勝2敗","A. アだけ
B. イだけ
C. ウだけ
D. アとイ
E. アとウ
F. イとウ
G. アとイとウ
H. 正しい推論はない","答え：C











以上の図を参照する。

ア　Yは2勝2敗　←①は確定するするが、②は確定しない

イ　WはVに勝った　←②は確定するするが、①は確定しない

ウ　Vは2勝2敗　←①も②も確定する

従ってウのみ正しい。","非言語の推論の問題は情報を整理する力が求められます。リーグ戦のような多くの試合がある問題を頭の中だけで考えることは難しいので、表を用いてまとめることが重要です。
例えばこの問題では、縦と横にX、Y、Z、V、Wをそれぞれとった総当たり戦の表を書いてみましょう。勝った方に〇、負けた方に×をつけていくと、Ⅰ,Ⅱ、Ⅲの情報でYvsV、VvsW以外の全ての結果が埋まることがわかります。すべての勝敗が確定するということは表が全て埋まるということであるので、YvsV、VvsWの結果が確定するような最低限の選択肢の組み合わせが解答となります。
このように表を書くことで情報が整理され、正確に問題を解くことが出来るでしょう。"
整数,37,"テニスの全国大会の決勝にP、Q、R、S、Tの5人が出場した。今までの対戦経験について次のことがわかっている。

Ⅰ　Pさんは3人と対戦経験がある。

Ⅱ　QさんはRさんとだけ対戦経験がある。

最も少ない情報で5人全員の対戦経験を確定するには、Ⅰ、Ⅱのほか、次のア、イ、ウのうち最低限どれが加わればよいか。AからHで1つ選びなさい。

ア　3人とだけ対戦経験がある人物はPさんのほかに1人だけいる

イ　SさんとTさんは対戦経験がある

ウ　RさんとTさんは対戦経験がある","A. アだけ
B. イだけ
C. ウだけ
D. アとイ
E. アとウ
F. イとウ
G. アとイとウ
H. 正しい推論はない","答え：E
















以上の図を参照する。対戦経験があれば◯、対戦経験がなければ×とする。Ⅰ、Ⅱの条件から以上のように埋まる。①、②、③の部分は埋まらない。

ア　3人とだけ対戦経験がある人物はPさんのほかに1人だけいる　

Pさんのほかに3人とだけ対戦経験があるのがSなら、①③は○。そこで②が×だとRも3人とだけ対戦経験があることになってしまうので②は○でないといけない。すると今度はTが3人とだけ対戦経験があることになってしまう。従って成り立たない。

同様にPさんのほかに3人とだけ対戦経験があるのがTだとしても成り立たない。

Pさんのほかに3人とだけ対戦経験があるのがRであるなら、①または②が×、③が×で成り立つ。

イ　③が○。アと組み合わせても③が×でないといけないので、成り立たない。

ウ　②が○。①③を×にして仕舞えば、アと組み合わせれば①②③全て確定できる。

従ってアとウを加えるのが正しい。","非言語の推論の問題は情報を整理する力が求められます。この問題のよう多くの組み合わせがある問題を頭の中だけで考えることは難しいので、表を用いてまとめることが重要です。
例えばこの問題では、縦と横にP、Q、R、S、Tをそれぞれとった1vs1の組み合わせの表を書いてみましょう。Ⅰ,Ⅱ、Ⅲの情報でRvsS、RvsT、SvsT以外の結果を埋めることができます。すべての対戦経験が確定するということは表が全て埋まるということです。情報が少ない順にAから選択肢を代入していき、はじめてのRvsS、RvsT、SvsTの対戦経験が確定する選択肢が解答となります。
このように表を書くことで情報が整理され、正確に問題を解くことが出来るでしょう。"
整数,38,"P、Q、R、S、T、U、V、Wの8チームがサッカーの大会でトーナメント戦を争った。対戦について次のⅠ〜Ⅲがわかった。

Ⅰ　QはT、U、Wと戦った。ただし順不同である。

Ⅱ　Pは2回戦で戦う可能性があったのはS、Uである。

Ⅲ　Pが1回戦で戦ったのは、Rではない。

Pが1回戦で戦ったのはどのチームか。","A. P
B. Q
C. R
D. S
E. T
F. U
G. V
H. W","答え：G












以上の図を参照する。

Ⅱより、SとUは1回戦で戦った。また、ⅠよりPとQは対戦していない。よって以上の図のようになる。QはT、U、Wと戦ったので、TとWは表の右半分にいる。また、Ⅲより答えはVとなる。",No advice provided for this question.
整数,39,"ＰＱＲＳの4人チームで毎年恒例のサッカーの総当たり戦が行われた。

順位に関して次のことが分かっている。なお、同じ順位のチームはない。

Ⅰ　Ｐは昨年より順位が3つ下だった。
Ⅱ　Ｑは今年と昨年で順位が変わらなかった。
Ⅲ　Ｒは今年2位であった。

今年の順位を左が上位として並べたとき、ただしいものを選べ。","A. SRPQ
B. SRQP
C. PRSQ
D. RPQS","答え：B

Ⅰ、Ⅲより、次のことが分かる。
昨年　Ｐ〇〇〇　今年　〇Ｒ〇Ｐ

これとⅡより、次のことが分かる。
昨年　Ｐ〇Ｑ〇　今年　〇ＲＱＰ

よって、今年はＳＲＱＰ","非言語の推論の問題は情報を整理する力が求められます。このような条件から順位を推測する問題では、条件を考える順番が大切です。順位を確定できる条件や簡単な条件から処理していきましょう。
例えばこの問題では、条件Ⅲ→条件Ⅰ→条件Ⅱの順番で考えましょう。条件Ⅲは言わずもがなですが、実は条件Ⅰも「Pが去年1位、今年4位」であると確定できる条件です。後はQ以外が同じ順位にならないという条件と条件Ⅱを満たすように残りの順位を穴埋めしましょう。
このように条件を考える順番を工夫することで、複数の場合を考えることなく問題を解くことができます。"
整数,40,"ＰＱＲＳの4チームでラグビーの総当たり戦を行った。順位について次のことが分かっている。なお、同じ順位のチームはない。

Ⅰ　Ｐ、Ｑ、Ｓは今シーズン、前シーズンよりも順位が上がった。
Ⅱ　Ｑは前シーズン4位であり、今シーズンは3位であった。
Ⅲ　Ｓは前シーズン2位であった。

今シーズンの順位を左を上位としてならべたとき、ただしいものはどれか。","A. SPQR
B. SRQP
C. PRQS
D. RPQS","答え：A

Ⅰより、Ｒは1位→4位、それ以外は１つずつ順位を上げたことがわかる。
これと、Ⅱ、Ⅲより次のことが分かる。
昨年　ＲＳ〇Ｑ　今年　Ｓ〇ＱＲ

よって、ＳＰＱＲ","非言語の推論の問題は情報を整理する力が求められます。このような条件から順位を推測する問題では、条件を考える順番が大切です。順位を確定できる条件や簡単な条件から処理していきましょう。
例えばこの問題では、条件Ⅱ→条件Ⅲ→条件Ⅰの順番で考えましょう。条件Ⅱや条件Ⅲは順位について確定した情報を与えてくれます。逆に条件Ⅰは複数の候補が考えられてしまう条件なので、後回しにしましょう。しかし、条件Ⅱや条件Ⅲを考えた後であれば、例えばSが今シーズン1位だと確定できたり、さらにそこからPとRの順位を確定できたりと、より確定度の高い情報へと変化します。
このように条件を考える順番を工夫することで、複数の場合を考えることなく問題を解くことができます。"
整数,41,"日本、中国、ドイツ、韓国の4カ国が卓球の総当り戦を2回行った。1回目と2回目の順位について次の情報を得た。ただし、同じ順位のチームはない。

Ⅰ　2回目の日本、中国、韓国は、1回目よりも順位が上がった。
Ⅱ　日本は1回目4位であった。

2回目の順位を報道したいが、次のうちどの情報が加われば順位が確定するか。

ア　韓国は2回目1位であった。
イ　ドイツは2回目4位であった。
ウ　2回目は中国は日本よりも順位が高かった。","A. アだけ
B. イだけ
C. ウだけ
D. アとイ
E. アとウ
F. イとウ","答え：A

Ⅰより、ドイツが1回目に1位であり、2回目に4位に順位が下がっており、それ以外３国は１つずつ順位を上げたことがわかる。
なぜなら、ドイツ以外の３チーム全ての順位が上がっているためである。
これとⅡより、次のことが分かる。
1回目　独〇〇日　2回目　〇〇日独

ア：韓国が1位と分かると2回目の順位は確定する。
イ：ドイツが2回目4位であることは既に分かっている。
ウ：2回目中国が日本よりも順位が高いことは既に分かっている。

以上より、アが正しい。","非言語の推論の問題は情報を整理する力が求められます。このような条件から順位を推測する問題では、条件が示している文字通り以上の意味を見つける必要があります。
例えばこの問題では、条件Ⅰは日本、中国、韓国について述べている情報ですが、実はドイツの順位を確定することができる条件となっています。なぜなら条件Ⅰは日本、中国、韓国が1回目で1位、2回目で4位を取っていないことを示しているので、残ったドイツがこの順位に入ることが確定するからです。また、条件Ⅱについても条件Ⅰと組み合わせれば、日本が2回目に3位しか入れないことがわかります。
このように条件が示している意味について深く考える癖をつけると良いでしょう。"
整数,42,"Ｐ、Ｑ、Ｒ、Ｓで徒競走を行った。4人の順位に関して次のことが分かっている。

Ⅰ　ＳはＱ、Ｒよりも順位が高かった。
Ⅱ　ＱはＰよりも順位が高かった。
Ⅲ　Ｐは4位ではなかった。

左から順に1位～4位の人を並べたとき正しいものはどれか。","A. PRSQ
B. RPQS
C. SQPR
D. SPRQ","答え：C

Ⅰ、Ⅱより、Ｓが1位であることが分かる。
また、これらとⅢより、Ｒが4位であること分かり、Ⅱより、Ｑが2位である。

以上より、ＳＱＰＲとなる。","非言語の推論の問題は情報を整理する力が求められます。このような条件から順位を推測する問題では、わかっている情報を不等号などの記号でわかりやすく整理しましょう。
例えばこの問題では、条件Ⅰと条件Ⅱより、「S＞Q＞P、S＞R」と表せます。また、条件ⅢよりPは4位ではないので、条件Ⅰと条件ⅡよりPは3位しかあり得ないことがわかります。ゆえに「S＞Q＞P＞R」であると確定できます。
このように情報を符号で整理することで情報をわかりやすくまとめることができます。"
整数,43,"Ｐ、Ｑ、Ｒ、Ｓ、Ｔで長距離走を行った。５人の順位に関して次のことが分かっている。

Ⅰ　ＳはＱ、Ｒよりも順位が低かった。
Ⅱ　ＱはＰ、Ｔよりも順位が高かった。
Ⅲ　Ｒ、Ｓは４位以下であった。

１位であったのは誰か。","A. P
B. Q
C. R
D. S
E. T","答え：B

Ⅰ、Ⅱより、1位として可能性があるのはＱかＲ。
Ⅲより、1位はＱと分かる。","非言語の推論の問題は情報を整理する力が求められます。このような条件から順位を推測する問題では、わかっている情報を不等号などの記号でわかりやすく整理しましょう。
例えばこの問題では、条件Ⅰは不等号で「Q、R＞S」と表せます。また、条件Ⅱは「Q＞P、T」と表せます。条件Ⅲは少し特殊ですが、「P、Q、T＞R、S」と表せます。これらから、「Q＞P、T＞R、S」であることがわかるので、Qが1位とわかります。
このように情報を符号で整理することで情報をわかりやすくまとめることができます。"
整数,44,"Ｐ、Ｑ、Ｒ、Ｓの4人が、1回ずつおみくじを引いた。おみくじは吉2本と凶2本で、これについて次のことが分かっている。

Ⅰ　最初に吉を引いたのはＱだった。
Ⅱ　連続して吉は出ていない。
Ⅲ　ＰはＳよりも先に引き、ＲとＳは凶であった。

このとき、引いた順番に左から並べるとどのようになるか。","A. QRPS
B. QRSP
C. RQPS
D. RQSP","答え：A

Ⅱより、考えられる吉（○）凶（×）の順番は次の3通り。
〇×〇×
〇××〇
×〇×〇

Ⅲより、Ｐは吉である。また、ⅠよりＰは最後に吉を出しているので3番目か4番目である。
Ⅲより、ＰはＳよりも先に引いているのでＰが3番目、Ｓが4番目。

以上より、ＱＲＰＳ","非言語の推論の問題は情報を整理する力が求められます。このような条件から順位を推測する問題では、選択肢が条件をすべて満たしているかで消去法を使うこともできます。
例えばこの問題は、解説のように条件から順々に情報を得て解くことが正攻法です。しかし、このように「1つ選ぶ」、「1番だけでなくすべての順番が選択肢となっている」、「選択肢の数が少ない」問題は消去法に向いています。もし引いた最初の1番だけしか選択肢になっていないような問題であったら、条件を満たしているかが確認しづらいので、消去法は避けましょう。
このように消去法に向いている問題と判断できたら、各選択肢が条件を満たすかだけ確認すれば良いので簡単に解くことができます。"
整数,45,"X、Y、Z、Wの4人のバッターが打席に立った。このうち、2人はヒットを打ち、残りの2人は三振である。これに関して次のことが分かっている。

Ⅰ　最初にヒットを打ったのはYだった。
Ⅱ　連続してヒットは出ていない。
Ⅲ　XはWよりも先に打席に立ち、Wは三振であった。

このとき、必ず正しいといえる推論はどれか。","A. Xはヒットであった。
B. XはZよりも先に打席に立っている。
C. YはWよりも先に打席に立っている。
D. ZとWは連続して打席に立っている。","答え：C

Ⅱより、考えられるヒット三振の順番は次の3通り。
〇×〇×
〇××〇
×〇×〇

これとⅠ、Ⅲより、Wはいずれの場合も最後に引いているので、それぞれ以下のようになる。
Y×〇W
YXWZ
XYWZ

以上より推論する。

Ａ　Xは三振の場合もある。
Ｂ　ZがXよりも先に打席に立っている場合もある。
Ｃ　いずれの場合もYはWよりも先である。
Ｄ　ZとWの間にXが入る場合もある。

これらより、Ｃが正しい。","非言語の推論の問題は情報を整理する力が求められます。このような条件から順位を推測する問題では、わかっている情報を不等号などの記号でわかりやすく整理しましょう。
例えばこの問題では、ヒットを〇、三振を×で表しましょう。条件Ⅱより、考えられる順番は〇×〇×、〇××〇、×〇×〇の3通りです。一度誰が打ったかではなく、ヒットと三振の順番だけで考えましょう。次に条件Ⅰと条件Ⅲより誰がどこを打ったが部分的にわかるので、そこを〇と×からアルファベットに置き換えます。その状態をベースとして選択肢が正しいかを確かめていきましょう。
このように情報を符号で整理することで考えるための下地を作ることができます。"
整数,46,"Ｐ、Ｑ、Ｒ、Ｓの4人が感染症の検査を行った。次のことが分かっている。

Ⅰ　最初に陽性が出たのはＱだった。

Ⅱ　連続して陽性者は出ていない。

Ⅲ　ＰはＳよりも先に検査をし、Ｓは陰性であった。

Ⅳ　陽性者と陰性者はそれぞれ2人ずつである。

最も少ない情報で、全員の検査を受けた順番と結果を確定させるには、Ⅰ~Ⅲの情報のほか、次のア、イ、ウのうちどれが加わればよいか。

ア　Ｑは１番目に検査を受けている。
イ　ＰはＲよりも後に受けている。
ウ　Ｓは3番目以降に受けている。","A. アだけ
B. イだけ
C. ウだけ
D. アとイ
E. アとウ
F. イとウ","答え：B

Ⅱより、考えられる陽性（◯）陰性（×）の順番は次のＸ、Ｙ、Ｚの3通り。
Ｘ：〇×〇×
Ｙ：〇××〇
Ｚ：×〇×〇

これとⅢより、Ｓはいずれの場合も最後に受けているので、それぞれ以下のようになる。
Ｘ：Ｑ×〇Ｓ
Ｙ：ＱＰＳＲ
Ｚ：ＰＱＳＲ

以上より推論する。

ア：これよりＸかＹに絞れる。
イ：これより可能性としてXのみに絞れる。
ウ：これは既に分かっていることである。

これらより、イだけが必要最低限である。","非言語の推論の問題は情報を整理する力が求められます。このような条件から順番と結果を推測する問題では、わかっている情報を記号でわかりやすく整理しましょう。
例えばこの問題では、まず陽性と陰性の順番だけで考えてみましょう。陽性を〇、陰性を×で表すとすると、条件Ⅱと条件Ⅳより、考えられる順番は〇×〇×、〇××〇、×〇×〇の3通りです。次に条件Ⅰと条件Ⅲより誰がいつ検査したかが部分的にわかるので、そこを〇と×からアルファベットに置き換えます。最後に、考えられる3通りのうち1通りに確定できるような選択肢を探しましょう。
このように情報を記号で整理することで考えるための下地を作ることができます。"
整数,47,"Ｐ、Ｑ、Ｒ、Ｓの4人は駅伝の同じ区間に出場した。この順番にレースをスタートし、それぞれが区間を完走した。これに関して次のことが分かっている。

Ⅰ　Pは２つ順位を落とした。

Ⅱ　Qはこの区間を最も短いタイムで走った。

Ⅲ　RはSよりも短いタイムで走った。

4人のゴールした時の順位として正しいのはどれか。","A. QRPS
B. QPRS
C. RQPS
D. QSPR","答え：A

PQRSの順でレースをスタートしており、

Ⅱより、QはR,Sには抜かれていない、

Ⅲより、RはSに抜かれていないことより、

Q,R,Sの３人ではQ,R,Sの順にゴールしていることがわかる。

また、ⅠよりPは２人に抜かれているため、QRPSという順位になる。","非言語の推論の問題は情報を整理する力が求められます。このような条件から順位を推測する問題では、条件が示している文字通り以上の意味を理解する必要があります。
例えば、条件Ⅱは「Qのタイムが一番短かった」ということを述べていますが、この問題におけるこの情報の意味は「Qは自分より後にスタートしたRとSには抜かれなかった」ということです。Qより先にスタートしたPを抜けたかは、この条件からはわかりません。同様に条件Ⅲは、「Rは自分より後にスタートしたSには抜かれなかった」ということを意味しています。これらの情報と条件Ⅰを組み合わせて順番を推理していきましょう。
このように条件が示している意味について深く考える癖をつけると良いでしょう。"
整数,48,"Ｐ、Ｑ、Ｒ、Ｓの4人でテニスのシングルスの総当たり戦を行い、その勝ち数によって順位付けをした。ただし、勝った数が同じだった人は存在しなかった。これについて次のことが分かっている。

Ⅰ　Ｐは全勝している。
Ⅱ　ＱはＲに勝っている。
Ⅲ　Ｓの勝ち数は１勝である。

このとき２位は誰であるか。","A. P
B. Q
C. R
D. S","答え：B

４人の総当り戦で、かつ、勝ち数が同じだった人がいなかったので４人の勝ち数はそれぞれ０、１、２、３である。
Ｐが３勝、Ｓが１勝なので、Ⅱを考えると、Ｑが２勝、Ｒが０勝である。
以上より、２位はＱである。","非言語の推論の問題は情報を整理する力が求められます。このような条件から順位を推測する問題では、解き方の根幹となるような重要な条件を見逃さないようにしましょう。
例えば、この問題における重要な条件は問題文の「勝った数が同じだった人は存在しなかった」という情報となります。この情報によって「４人の勝ち数はそれぞれ０、１、２、３である」ということがわかるので、勝ち数にそれぞれ人を当てはめていくことで解くことができます。条件Ⅰと条件ⅢからＰが３勝、Ｓが１勝だとわかるので、条件ⅡからQが2勝、すなわち2位だとわかります。
このように重要な条件に気付けるかが難易度を左右するので注意しましょう。"
平均,49,"P、Q、R、Sの4人が100点満点のカラオケの採点をしたところ、次の結果になった。
Ⅰ　4人の平均点は60点だった。
Ⅱ　QとRの平均点は50点であった。
Ⅲ　SはPよりも10点高かった。

このとき、必ず正しいといえる推論の組み合わせはどれか。

ア：SはQよりも点数が高い。
イ：Rは4人の中で最高点である。
ウ：Sは4人の中で少なくとも最低点ではない。","A. アだけ
B. イだけ
C. ウだけ
D. アとイ
E. アとウ
F. イとウ
G. アとイとウ
H. 正しい推論はない。","答え：C

ア: SとQの点数の上下関係は分からないので、必ずしも正しいとは限らない。
イ: 少なくともQとRの点数の上下関係は分からないので、必ずしも正しいとは限らない。
ウ: 4人の合計点は60×4＝240点。QとRの合計点は50×2＝100点。よって、PとSの合計点は240－100=140点。よって、Sは、(140＋10)÷2 = 75点。QとRの平均点は50点なので少なくともどちらかは75点以下である。よって、これは正しい。","非言語の推論の問題は情報を整理する力が求められます。このように平均から各数値を求める問題では、わからない数値を一度文字でおいて式で整理しましょう。
例えばこの問題では、P、Q、R、Sの点数をそれぞれP、Q、R、Sと置きます。文字を用いると、条件Ⅰは「P＋Q＋R＋S=240」、選択肢アは「Q＜S」のように表せます。選択肢Ⅰ～Ⅲを連立方程式のように解けば、さらに式をコンパクトにすることができます。まず選択肢ア～ウに関して反例を探して、必ず正しいとは言えないものを消去しましょう。それから残った選択肢について必ず正しいかを確かめた方が早いです。
このように条件を文字で表すことで、情報をわかりやすく整理することが出来ます。"
平均,50,"P、Q、R、Sの4人が100点が最高点のゲームをしたところ、次の結果になった。
Ⅰ　4人の平均点は60点だった。
Ⅱ　QとRの平均点は50点であった。なお、二人の得点は異なる。
Ⅲ　SはPよりも10点高かった。

 

最も少ない情報で4人の点数すべてが確定するには、Ⅰ～Ⅲのほか、次のア、イ、ウのうちどれが加わればよいか。正しい組み合わせを選べ。

ア　Qが4人の中で最低点である。
イ　QとSの平均点は70点である。
ウ　4人の中で得点が同じ人がいる。","A. アだけ
B. イだけ
C. ウだけ
D. アとイ
E. アとウ
F. イとウ
G. アとイとウ
H. 正しい推論はない。","答え：B

4人の合計点は60×4=240点。QとRの合計点は50×2=100点。よって、PとSの合計点は240-100=140点。よって、Sは、(140+10)÷2 = 75点。Pは65点。
ア：Qが最低点であることだけしか分からない。
イ：Q+S=140と分かるので、Q=140-75=65点。R＝100-65=35点とすべて確定できた。
ウ：P、Q、RもしくはQ、R、Sのうちのだれか2人が同じ得点であることが分かる。
以上より、イのみで4人の点数が確定できる。","非言語の推論の問題は情報を整理する力が求められます。このように平均から各数値を求める問題では、わからない数値を一度文字でおいて式で整理しましょう。
例えばこの問題では、P、Q、R、Sの点数をそれぞれP、Q、R、Sと置きます。この文字を用いて各条件と選択肢を表します。例えば、条件Ⅰは「P＋Q＋R＋S=240」、選択肢アは「Q＜P、R、S」のように表せます。4人の点数が確定するということは、すなわちP、Q、R、Sの値が全てわかるということです。条件Ⅰ～Ⅲを用いると、P、Sはわかるので、残りのQ、Rがわかるような選択肢の組み合わせが答えです。
このように条件を文字で表すことで、情報をわかりやすく整理でき、既知と未知の数値が区別しやすくなります。"
平均,51,"P、Q、R、Sの4人の体育の成績は、次の結果になった。ただし、満点は100点である。
Ⅰ　4人の平均点は60点だった。
Ⅱ　PとRの平均点は50点であった。
Ⅲ　RとSの平均点は65点であった。

このとき、必ず正しいといえる推論の組み合わせはどれか。

ア　QはRよりも点数が高い。
イ　Qが4人の中で最高点である。
ウ　Sが4人の中で最高点である。","A. アだけ
B. イだけ
C. ウだけ
D. アとイ
E. アとウ
F. イとウ
G. アとイとウ
H. 正しい推論はない。","答え：A

平均点の情報から、
P+Q+R+S=240点、P+R=100点、R+S=130点と分かる。
また、これよりP+Q=110点、Q+S=140点と分かる。
ア：PとQの合計点がPとRの合計点より高いのでQ＞Rであるので正しい。
イ：例えば、P=70、Q=40、R=30、S=100は成立するので、必ずしも正しいとは限らない。
ウ：例えば、P=10、Q=100、R=90、S=40は成立するので、必ずしも正しいとは限らない。

以上より、アのみが正しい推論である。","非言語の推論の問題は情報を整理する力が求められます。このように平均から各数値を求める問題では、わからない数値を一度文字でおいて式で整理しましょう。
例えばこの問題では、P、Q、R、Sの点数をそれぞれP、Q、R、Sと置きます。この文字を利用すると、条件Ⅰは「P＋Q＋R＋S=240」、選択肢アは「Q＞R」のように表せます。選択肢Ⅰ～Ⅲを連立方程式のように解けば、「P+Q=110」「Q+S=140」を導くことができます。選択肢ア～ウに関してまず反例を探して、必ず正しいとは言えないものを消去しましょう。それから必ず正しいかを確かめた方が早いです。
このように条件を文字で表すことで、情報をわかりやすく整理することが出来ます。"
平均,52,"P、Q、R、Sの4人がボウリングに行ったところ、次のような結果になった。
Ⅰ　4人の平均点は60点だった。
Ⅱ　PとRの平均点は50点であった。
Ⅲ　RとSの平均点は65点であった。

4人の点数すべてが確定するには、Ⅰ～Ⅲのほか、次のア、イ、ウのうち最低限どれが加わればよいか。正しい組み合わせを選べ。

ア　PとSの平均点は65点である。
イ　PはSよりも20点高い。
ウ　Sが4人の中で最高点である。","A. アだけ
B. イだけ
C. ウだけ
D. アとイ
E. アとウ
F. イとウ
G. アとイとウ
H. 正しい推論はない。","答え：A

平均点の情報から、
P+Q+R+S=240点、P+R=100点、R+S=130点と分かる。
また、これよりP+Q=110点、Q+S=140点と分かる。
ア：P+S=130点と分かるから、P+Q+P+R+P+S＝110+100+130=340点。したがって、P×2+P+Q+R+S=340だから、P×2=100。
よって、P=50、Q=60、R=50、S=80。
イ：PがSよりも20点高いことだけ分かる。
ウ：Sが4人の中で最も点が高いことだけ分かる。
以上より、アのみで点数が確定する。","非言語の推論の問題は情報を整理する力が求められます。このように平均から各数値を求める問題では、わからない数値を一度文字でおいて式で整理しましょう。
例えばこの問題では、P、Q、R、Sの点数をそれぞれP、Q、R、Sと置きます。文字を利用すると、条件Ⅰは「P＋Q＋R＋S=240」、選択肢アは「P+S=130」のように表せます。4人の点数が確定するということは、すなわちP、Q、R、Sの値が全てわかるということです。選択肢Aから試していき、連立方程式を解くようなつもりで、4つの文字の値を求めていきましょう。
このように条件を文字で表すことで、情報をわかりやすく整理でき、既知と未知の数値が区別しやすくなります。"
平均,53,"14個のケーキをP、Q、R、Sの4人に配った。配ったケーキの個数について次のことが分かっている。

Ⅰ　PとRがもらった個数の平均は、QとSがもらった個数の平均と等しい。
Ⅱ　Pがもらった個数は4人の中で最も多い。
Ⅲ　4人がもらった個数は全て異なる。

このとき、必ず正しいといえる推論の組み合わせはどれか。

ア　Qがもらった個数はSがもらった個数よりも多い。
イ　Rがもらった個数は4人の中で最も少ない。
ウ　Sがもらった個数は4人のもらった個数の平均よりも多い。","A. アだけ
B. イだけ
C. ウだけ
D. アとイ
E. アとウ
F. イとウ
G. アとイとウ
H. 正しい推論はない。","答え：B

PとRの平均とQとSの平均が等しい、かつ、合計が14個なのでP+R=Q+S=７である。
ア：QとSの大小関係は分からない。
イ：P+R=Q+S=7が成り立つことと、Pが最も多くもらっていることと、4人のもらった個数が異なることを合わせると、Rがもっとも少ないことが分かる。
ウ：Sが4人の平均（=3.5）よりも多いかどうかは分からない。",No advice provided for this question.
